wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, primary_class 
GL2U1AG05001, ,61.41,-45.38,166.08, ,1
GL2U1AG07008, ,61.45,-45.13,100.49, ,1
GL2U1AG07024, ,61.45,-44.98,63.58, ,1
GL2U1AG07027, ,61.46,-44.9,59.81, ,1
GL2U1AG07040, ,61.43,-44.81,61.47, ,1
GL2U1AG07044, ,61.23,-45.3,150.25, ,1
GL2U1AG08001, ,61.2,-45.2,157.75, ,1
GL2U1AH02001, ,61.01,-46.66,438.65, ,1
GL2U1AH02002, ,61.03,-46.56,211.81, ,1
GL2U1AH02003, ,61.06,-46.46,155.39, ,1
GL2U1AH02004, ,61.08,-46.43,51.62, ,1
GL2U1AH02005, ,61.1,-46.38,108.37, ,1
GL2U1AH03001, ,61.1,-46.33,64.61, ,1
GL2U1AH03002, ,61.1,-46.3,65.55, ,1
GL2U1AH04001, ,61.15,-46.25,96.7, ,1
GL2U1AH04002, ,61.13,-46.13,86.22, ,1
GL2U1AH04003, ,61.18,-46.15,100.04, ,1
GL2U1AH06001, ,61.23,-46.18,116.37, ,1
GL2U1AH06002, ,61.25,-46.13,641.2, ,1
GL2U1AH06003, ,61.26,-46.06,383.77, ,1
GL2U1AH08001, ,61.38,-46,66.27, ,1
GL2U1AH08002, ,61.4,-45.9,219.27, ,1
GL2U1AH08007, ,61.45,-45.8,85.25, ,1
GL2U1AH08016, ,61.48,-45.73,81.35, ,1
GL2U1AH08021, ,61.51,-45.61,26.49, ,1
GL2U1AH08022, ,61.33,-45.8,872.99, ,1
GL2U1AI01001, ,61.11,-47.6,45.7, ,1
GL2U1AI01002, ,61.1,-47.58,213, ,1
GL2U1AI01003, ,61.06,-47.5,141.6, ,1
GL2U1AI02001, ,61.08,-47.43,271.75, ,1
GL2U1AI02002, ,61.08,-47.3,171.79, ,1
GL2U1AI03001, ,61.08,-47.2,269.91, ,1
GL2U1AI04001, ,61.06,-47.06,208.63, ,1
GL2U1AI04002, ,61.01,-47.01,56.87, ,1
GL2U1AI05001, ,60.98,-47,227.27, ,1
GL2U1AI06001, ,61,-46.88,211.3, ,1
GL2U1BA01001, ,61.3,-47.73,61.57, ,1
GL2U1BA03001, ,61.28,-47.7,42.88, ,1
GL2U1BA03003, ,61.3,-47.66,65.72, ,1
GL2U1BA03004, ,61.25,-47.65,45.65, ,1
GL2U1BA04001, ,61.2,-47.73,168.88, ,1
GL2U1BA05001, ,61.16,-47.65,50.42, ,1
GL2U1BA05003, ,61.15,-47.66,67.67, ,1
GL2U1BA06001, ,61.11,-47.66,65.14, ,1
GL2U1BB04004, ,61.41,-47.83,329.12, ,1
GL2U1BB05002, ,61.36,-47.76,73.75, ,1
GL2U1BB05003, ,61.33,-47.78,42.08, ,1
GL2U1BB05004, ,61.31,-47.9,222.54, ,1
GL2U1BD06001, ,61.58,-48.31,913.37, ,1
GL2U1BD06009, ,61.66,-47.68,24.73, ,1
GL2U1BD06037, ,61.63,-47.76,67.96, ,1
GL2U1BD06038, ,61.61,-47.73,36.21, ,1
GL2U1BD06039, ,61.6,-47.66,80.75, ,1
GL2U1BD06047, ,61.61,-48.03,244.6, ,1
GL2U1BE04015, ,61.8,-48.01,137.33, ,1
GL2U1BF03001, ,62.08,-48.61,224.69, ,1
GL2U1BF03002, ,61.96,-48.73,1556.8, ,1
GL2U1BF03003, ,61.98,-48.31,120.97, ,1
GL2U1BF03009, ,61.96,-48.13,89.7, ,1
GL2U1BF03010, ,61.98,-47.95,81.71, ,1
GL2U1BF03035, ,61.95,-47.93,92.19, ,1
GL2U1BF03039, ,61.85,-48.03,218.82, ,1
GL2U1BG03001, ,62.28,-49,200.95, ,1
GL2U1BG03002, ,62.2,-49.01,914.07, ,1
GL2U1BG04001, ,62.2,-48.83,293.04, ,1
GL2U1BG05001, ,62.18,-48.75,116.92, ,1
GL2U1BG06001, ,62.16,-48.7,48.09, ,1
GL2U1BG06002, ,62.06,-48.81,438.89, ,1
GL2U1BI02001, ,62.41,-49.18,197.21, ,1
GL2U1BI02002, ,62.35,-49.13,469.49, ,1
GL2U1BI03001, ,62.31,-49.03,83.01, ,1
GL2U1BK01001, ,62.58,-49.78,104.7, ,1
GL2U1BK01002, ,62.61,-49.65,220.63, ,1
GL2U1BK01004, ,62.83,-48.9,30.18, ,1
GL2U1BK01006, ,62.8,-48.93,47.85, ,1
GL2U1BK01007, ,62.65,-49.53,109.11, ,1
GL2U1BK01017, ,62.61,-49.46,345.37, ,1
GL2U1BK01021, ,62.61,-49.31,127.64, ,1
GL2U1BK01022, ,62.58,-49.31,134.19, ,1
GL2U1BK01023, ,62.58,-49.2,212.72, ,1
GL2U1BK01027, ,62.58,-49.05,37.91, ,1
GL2U1BK01028, ,62.56,-49.13,95.58, ,1
GL2U1BK01029, ,62.48,-49.21,290.66, ,1
GL2U1BK02002, ,62.45,-49.2,79.67, ,1
GL2U1BL01001, ,62.5,-49.95,466.17, ,1
GL2U1CA03003, ,62.9,-49.53,143.44, ,1
GL2U1CA06001, ,62.88,-49.51,74.47, ,1
GL2U1CA06003, ,62.8,-49.56,203.46, ,1
GL2U1CA06004, ,62.7,-49.86,102.92, ,1
GL2U1CA06005, ,62.6,-50.03,139.98, ,1
GL2U1CA07001, ,62.58,-50.08,105.26, ,1
GL2U1CB07011, ,63.11,-49.58,120.56, ,1
GL2U1CB08001, ,63.1,-49.58,55.36, ,1
GL2U1CB08002, ,63.06,-49.65,357.14, ,1
GL2U1CB09008, ,63.03,-49.36,32.58, ,1
GL2U1CB09009, ,63.01,-49.4,98.55, ,1
GL2U1CB09013, ,62.96,-49.4,102.02, ,1
GL2U1CB10013, ,62.93,-49.46,105.72, ,1
GL2U1CC09003, ,63.26,-49.41,291.75, ,1
GL2U1CC09004, ,63.25,-49.21,23.81, ,1
GL2U1CC09005, ,63.23,-49.28,85.69, ,1
GL2U1CC09008, ,63.18,-49.2,14.49, ,1
GL2U1CC09009, ,63.18,-49.3,60, ,1
GL2U1CD04019, ,63.56,-49.96,295.98, ,1
GL2U1CD04036, ,63.71,-49.2,56.77, ,1
GL2U1CD04037, ,63.58,-49.73,212.71, ,1
GL2U1CD04041, ,63.51,-49.58,569.21, ,1
GL2U1CD04042, ,63.58,-49.33,250.43, ,1
GL2U1CD04043, ,63.53,-49.28,155.96, ,1
GL2U1CD04044, ,63.48,-49.4,384.91, ,1
GL2U1CD04045, ,63.41,-49.31,223.19, ,1
GL2U1CD04046, ,63.35,-49.16,31.47, ,1
GL2U1CE05025, ,63.83,-49.78,437.3, ,1
GL2U1CE08022, ,63.76,-49.66,33.26, ,1
GL2U1CE08023, ,63.55,-50.53,611.32, ,1
GL2U1CG13001, ,64.2,-49.51,81.08, ,1
GL2U1CG13002, ,64.16,-49.48,269.49, ,1
GL2U1CG13003, ,64.18,-49.7,73.97, ,1
GL2U1CG14001, ,64.16,-49.76,286.86, ,1
GL2U1CG14002, ,64.08,-49.56,228.32, ,1
GL2U1CG14003, ,63.96,-49.45,372.11, ,1
GL2U1CG14004, ,63.93,-49.56,227.88, ,1
GL2U1CH02001, ,65.25,-50.55,2047.81, ,1
GL2U1CH02002, ,65.25,-49.88,334.3, ,1
GL2U1CH02013, ,65.18,-49.73,188.75, ,1
GL2U1CH02014, ,65.15,-49.7,292.4, ,1
GL2U1CH02015, ,65.11,-49.73,132.79, ,1
GL2U1CH02016, ,65.03,-49.83,526.41, ,1
GL2U1CH08001, ,64.96,-49.93,56.6, ,1
GL2U1CH13001, ,64.93,-49.9,89.74, ,1
GL2U1CH13002, ,64.88,-49.88,456.5, ,1
GL2U1CH13003, ,64.88,-49.7,110.98, ,1
GL2U1CH13004, ,64.83,-49.65,361.54, ,1
GL2U1CH17001, ,64.81,-49.55,37.78, ,1
GL2U1CH17002, ,64.68,-49.8,1187.96, ,1
GL2U1CH17003, ,64.6,-49.43,75.84, ,1
GL2U1CH21001, ,64.56,-49.45,169.23, ,1
GL2U1CH21002, ,64.48,-49.53,327.2, ,1
GL2U1CH22001, ,64.36,-49.61,338.25, ,1
GL2U1CH22002, ,64.41,-49.23,193.39, ,1
GL2U1CH23001, ,64.36,-49.23,111.3, ,1
GL2U1CH23002, ,64.33,-49.21,27.35, ,1
GL2U1CH23003, ,64.25,-49.53,1551.52, ,1
GL2U1DB11020, ,65.9,-50.13,101.4, ,1
GL2U1DB11021, ,65.78,-50.41,1413.39, ,1
GL2U1DB11022, ,65.71,-50.2,284.1, ,1
GL2U1DB11023, ,65.68,-50.18,158.64, ,1
GL2U1DB13006, ,65.63,-50.1,284.24, ,1
GL2U1DB13007, ,65.6,-49.98,941.93, ,1
GL2U1DB13008, ,65.53,-49.96,798.19, ,1
GL2U1DB13009, ,65.46,-49.96,392, ,1
GL2U1DB13010, ,65.45,-50.1,195.64, ,1
GL2U1DG02001, ,67.16,-49,167.34, ,1
GL2U1DG02002, ,67.11,-50.06,701.72, ,1
GL2U1DG03001, ,67.08,-50.11,175.45, ,1
GL2U1DG03002, ,67.08,-50,161.04, ,1
GL2U1DG03003, ,67.06,-49.98,162.94, ,1
GL2U1DG03004, ,67.01,-49.9,379.8, ,1
GL2U1DG03005, ,67,-49.8,382.86, ,1
GL2U1DG03006, ,66.96,-49.73,306.21, ,1
GL2U1DG03007, ,66.93,-49.83,1122.26, ,1
GL2U1DG08001, ,66.88,-49.8,641.18, ,1
GL2U1DG08002, ,66.81,-49.66,287.76, ,1
GL2U1DG08003, ,66.78,-49.66,300.34, ,1
GL2U1DG08004, ,66.75,-49.75,199.98, ,1
GL2U1DG08005, ,66.73,-49.78,354.46, ,1
GL2U1DG08006, ,66.68,-49.53,465.46, ,1
GL2U1DG08007, ,66.65,-49.56,528.8, ,1
GL2U1DG08008, ,66.61,-49.53,207.38, ,1
GL2U1DG08009, ,66.58,-49.5,851.36, ,1
GL2U1DG08010, ,66.51,-49.53,776.82, ,1
GL2U1DG08011, ,66.41,-49.5,299.58, ,1
GL2U1DG12010, ,66.38,-49.5,656.07, ,1
GL2U1DG12014, ,66.33,-49.6,261.51, ,1
GL2U1DG12015, ,66.31,-49.63,277.37, ,1
GL2U1DG16120, ,66.28,-49.66,606.34, ,1
GL2U1DG16121, ,66.23,-49.7,408.34, ,1
GL2U1DG16140, ,66.15,-49.71,275.86, ,1
GL2U1DG16141, ,66.13,-49.78,132.03, ,1
GL2U1DG16142, ,66.11,-49.9,316.71, ,1
GL2U1DG16156, ,66.08,-50.01,292.8, ,1
GL2U1DG16234, ,66.01,-49.96,331.78, ,1
GL2U1DG16235, ,65.95,-50.05,527.4, ,1
GL2U1EF15001, ,67.38,-49.71,614.02, ,1
GL2U1EF15002, ,67.33,-49.78,1565.67, ,1
GL2U1EF15003, ,67.26,-49.8,1413.83, ,1
