wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, snow_line_date 
SU5X14107189,189,40.91,74.67,0.2,4350, 
SU5X14107194,194,40.91,74.83,0.4,4245, 
SU5X14107198,198,40.94,74.87,0.4,4420, 
SU5X14107199,199,40.94,74.88,1.4,4345, 
SU5X14205025,25,41.98,76.69,0.2,4100,19640000
SU5X14205080,80,41.97,77.33,0.9,4195, 
SU5X14205113,113,41.96,77.42,0.2,4145, 
SU5X14205161,161,42.05,77.77,0.3,4080,19640000
SU5X14205200,200,41.94,77.81,1.8,4190,19640000
SU5X14205598,598,42.79,76.86,0.5,3940,19640000
SU5X14206081,81,41.6,78.5,2.5,4330, 
SU5X14206083,83,41.6,78.53,0.1,4495, 
SU5X14206111,111,41.64,78.67,5.3,4384, 
SU5X14206175,175,41.77,78.79,0.5,4236, 
SU5X14206215,215,41.71,78.92,0.3,4548, 
SU5X14206256,256,41.83,79.1,1.2,4325,19430000
SU5X14207106,106,42.08,78.68,1,4495,19560000
SU5X14207109,109,42.1,78.68,0.3,4350, 
SU5X14207111,111,42.08,78.68,0.2,4270,19560000
SU5X14207203,203,41.97,78.86,0.2,4280, 
SU5X14207204,204,41.98,78.86,0.2,4170, 
SU5X14207264,264,42.07,78.52,0.7,4535,19560000
SU5X14207315,315,42.06,78.31,0.6,4390, 
SU5X14207322,322,42.03,78.2,0.4,4455, 
SU5X14207323,323,42.03,78.19,0.4,4430, 
SU5X14207328,328,41.95,78.25,1.7,4190,19430000
SU5X14208024,24,42.42,79.86,0.5,4265, 
SU5X14208189,189,42.21,79.29,0.6,3900,19430000
SU5X14209350,350,41.88,79.18,0.3,4520, 
SU5X14209351,351,41.89,79.2,0.8,4520, 
SU5X14209353,353,41.9,79.26,0.3,4450, 
SU5X14209354,354,41.91,79.24,0.3,4600, 
SU5X14209355,355,41.91,79.22,0.3,4645, 
SU5X14209356,356,41.92,79.22,0.4,4570, 
SU5X14209357,357,41.92,79.23,0.6,4560, 
SU5X14209358,358,41.93,79.24,0.3,4500, 
SU5X14209407,407,41.88,79.63,0.7,4800, 
SU5X14209408,408,41.88,79.64,0.6,4800, 
SU5X14209409,409,41.89,79.65,0.3,4850, 
SU5X14210001,1,40.81,76.71,1.1,4405,19670000
SU5X14210002,2,40.8,76.71,0.9,4260,19670000
SU5X14210003,3,40.79,76.7,0.4,4380,19670000
SU5X14210004,4,40.78,76.68,3,4500,19670000
SU5X14210005,5,40.79,76.65,6.6,4400,19670000
SU5X14210006,6,40.79,76.63,1.8,4375,19670000
SU5X14210007,7,40.81,76.63,0.5,4225,19670000
SU5X14210008,8,40.8,76.61,1.2,4370,19670000
SU5X14210009,9,40.8,76.6,2,4175,19670000
SU5X14210010,10,40.8,76.59,1.1,4235,19670000
SU5X14210011,11,40.79,76.59,3.4,4405,19670000
SU5X14210012,12,40.79,76.62,2.8,4405,19670000
SU5X14210013,13,40.78,76.64,2.1,4405,19670000
SU5X14210014,14,40.77,76.65,2.3,4450,19670000
SU5X14210016,16,40.76,76.61,2.8,4500,19670000
SU5X14210017,17,40.78,76.59,1.5,4440,19670000
SU5X14210020,20,40.79,76.53,0.9,4330,19670000
SU5X14210021,21,40.78,76.52,1.2,4330,19670000
SU5X14210022,22,40.67,76.42,1.7,4095,19670000
SU5X14210023,23,40.71,76.45,1.7,4250,19670000
SU5X14210029,29,40.69,76.36,3.6,4315,19670000
SU5X14210030,30,40.7,76.35,1.6,4290,19670000
SU5X14210031,31,40.69,76.35,1.6,4270,19670000
SU5X14210032,32,40.68,76.35,0.8,4270, 
SU5X14210034,34,40.66,76.32,1.8,4240,19670000
SU5X14210036,36,40.69,76.3,1.3,4065,19670000
SU5X14210037,37,40.69,76.3,1.7,4090,19670000
SU5X14210038,38,40.66,76.31,2.7,4080,19670000
SU5X14210045,45,40.92,75.71,1,4290,19670000
SU5X14210051,51,40.97,75.78,1.9,4360, 
SU5X14210135,135,41.01,76.72,0.4,4230, 
SU5X14210148,148,41.08,78.01,0.6,4410, 
SU5X14210149,149,41.09,78.01,0.3,5050, 
SU5X14210150,150,41.09,78.01,0.6,4370, 
SU5X14210151,151,41.1,78.01,0.4,4480, 
SU5X14210163,163,41.14,78,0.5,4270,19680000
SU5X14210164,164,41.13,78,0.4,4270, 
SU5X14210165,165,41.13,78,0.2,4650, 
SU5X14210166,166,41.12,78,0.2,4650, 
SU5X14210167,167,41.11,78,0.3,4830, 
SU5X14210168,168,41.1,78,0.4,4840, 
SU5X14210169,169,41.08,78,0.9,4445,19680000
SU5X14210173,173,41.09,77.97,0.4,4590, 
SU5X14210174,174,41.07,77.97,2.2,4890,19680000
SU5X14210175,175,41.07,77.95,1.5,4380,19680000
SU5X14210180,180,41.1,77.93,0.2,4290, 
SU5X14210181,181,41.1,77.93,0.2,4570, 
SU5X14210182,182,41.1,77.93,0.3,4390, 
SU5X14210183,183,41.09,77.91,2.1,4580, 
SU5X14210184,184,41.08,77.92,0.5,4270, 
SU5X14210190,190,41.1,77.88,2.5,4350, 
SU5X14210191,191,41.1,77.88,0.5,4320, 
SU5X14210195,195,41.09,77.87,1,4370, 
SU5X14210199,199,41.06,77.8,4.3,4750, 
SU5X14210201,201,41.07,77.77,1.5,5640, 
SU5X14210203,203,41.04,77.71,0.9,4605, 
SU5X14210204,204,41.1,77.68,0.9,5555, 
SU5X14210213,213,41.11,77.66,1,4310,19430000
SU5X14210214,214,41.12,77.65,1.7,4310, 
SU5X14210216,216,41.14,77.65,0.7,4450, 
SU5X14210218,218,41.08,77.68,1.5,4765,19430000
SU5X14210219,219,41.07,77.69,0.5,4980,19430000
SU5X14210220,220,41.06,77.69,0.6,5820, 
SU5X14210222,222,41.01,77.65,1,5200,19430000
SU5X14210223,223,41.01,77.64,1.5,5750, 
SU5X14210224,224,41.01,77.62,0.7,5805, 
SU5X14210225,225,41.01,77.61,0.4,4740, 
SU5X14210226,226,41.04,77.61,1,4865, 
SU5X14210227,227,41.05,77.62,0.5,4830, 
SU5X14210228,228,41.07,77.62,2.2,4845, 
SU5X14210229,229,41.08,77.63,0.3,4270, 
SU5X14210230,230,41,77.57,1,5490, 
SU5X14210232,232,41.09,77.58,1.6,4700, 
SU5X14210233,233,41.11,77.58,1.2,4830, 
SU5X14210234,234,41.11,77.56,0.7,4550, 
SU5X14210235,235,41.11,77.57,3.4,4580, 
SU5X14210236,236,41.09,77.57,1.1,4840, 
SU5X14210237,237,41,77.51,0.8,5330, 
SU5X14210239,239,41.03,77.53,0.6,4650, 
SU5X14210245,245,41.1,77.53,0.8,4690, 
SU5X14210246,246,41.1,77.52,1.5,4795, 
SU5X14210252,252,41.1,77.42,0.9,4460,19430000
SU5X14210254,254,41.28,77.53,0.1,4575, 
SU5X14210257,257,41.28,77.59,0.2,4640, 
SU5X14210259,259,41.29,77.6,0.3,4670, 
SU5X14210260,260,41.29,77.61,0.4,4450, 
SU5X14210262,262,41.28,77.63,0.4,4430, 
SU5X14210264,264,41.28,77.63,0.5,4700, 
SU5X14210265,265,41.28,77.64,0.2,4925, 
SU5X14210266,266,41.27,77.65,0.2,4410, 
SU5X14210267,267,41.28,77.66,0.1,4550, 
SU5X14210268,268,41.27,77.67,0.1,4570, 
SU5X14210269,269,41.28,77.68,0.1,4780, 
SU5X14210270,270,41.29,77.71,0.1,4790, 
SU5X14210271,271,41.29,77.72,0.1,4790, 
SU5X14210272,272,41.3,77.73,0.2,4935, 
SU5X14210273,273,41.3,77.74,0.1,5000, 
SU5X14210274,274,41.3,77.74,0.1,4970, 
SU5X14210275,275,41.28,77.74,0.2,4980, 
SU5X14210276,276,41.28,77.76,0.7,4840, 
SU5X14210277,277,41.29,77.76,0.5,4745, 
SU5X14210278,278,41.29,77.77,0.3,4600, 
SU5X14210279,279,41.28,77.77,1,4600, 
SU5X14210280,280,41.28,77.79,0.2,4350, 
SU5X14210281,281,41.3,77.79,1.2,4550, 
SU5X14210282,282,41.31,77.78,0.2,4595, 
