wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, snow_line_date 
ID5A01600001, Northwall Firn,-4.057,137.183,3.608,4620, 
AQ6C20205006, Gourlay Snowfield,-60.721,-45.61,0.649,111, 
CA2M001CB051, AUREOLE,49.582,-125.397,0.61, ,19570530
CA2M001CC028, ,49.458,-125.779,0.16, ,19570719
CA2N001AD018, ,57.301,-128.266,0.19, ,19710811
CA2N001AD019, ,57.301,-128.285,0.16, ,19710811
CA2N001AD024, ,57.257,-128.337,0.23, ,19710811
CA2N001AD025, ,57.263,-128.365,0.08, ,19710811
CA2N001AD028, ,57.272,-128.36,0.08, ,19710811
CA2N001AD035, ,57.346,-128.345,0.05, ,19710811
CA2N001AD054, ,57.519,-128.202,0.05, ,19710801
CA2N001AD055, ,57.518,-128.195,0.08, ,19710801
CA2N001AD056, ,57.529,-128.157,0.16, ,19710801
CA2N001AD064, ,57.525,-128.262,0.18, ,19710810
CA2N001AD083, ,57.517,-128.469,0.13, ,19710811
CA2N001AD102, ,57.34,-128.419,0.19, ,19710811
CA2N001AD103, ,57.336,-128.405,0.06, ,19710811
CA2N001AD104, ,57.333,-128.402,0.19, ,19710811
CA2N001AD105, ,57.333,-128.392,0.34, ,19710811
CA2N001AD106, ,57.33,-128.387,0.06, ,19710811
CA2N001AD120, ,57.267,-128.46,0.19, ,19710811
CA2N001AD121, ,57.263,-128.466,0.19, ,19710811
CA2N001AD123, ,57.259,-128.473,0.36, ,19710811
CA2N001AD127, ,57.268,-128.469,0.15, ,19710811
CA2N001AD226, ,57.079,-128.748,0.14, ,19710731
CA2N001AD227, ,57.068,-128.769,0.9, ,19710731
CA2N001AD229, ,57.068,-128.781,0.94, ,19710731
CA2N001AD230, ,57.07,-128.796,0.32, ,19710731
CA2N001AD231, ,57.072,-128.809,0.68, ,19710731
CA2N001AD241, ,57.095,-128.825,1.39, ,19710731
CA2N001AD242, ,57.106,-128.832,0.23, ,19710731
CA2N001AD252, ,57.146,-128.908,0.29, ,19710731
CA2N001AD253, ,57.149,-128.921,1.13, ,19710731
CA2N001AD387, ,57.519,-128.758,0.17, ,19710731
CA2N001AD388, ,57.516,-128.746,0.27, ,19710731
CA2N001AD421, ,57.541,-128.646,0.24, ,19710731
CA2N001AD464, ,57.643,-128.854,0.18, ,19710731
CA2N001CB198, ,57.138,-128.921,1.48, ,19710731
CA2N001CC304, ,57.169,-129.212,0.02, ,19710730
CA2N001EA368, ,57.96,-132.509,26.97, ,19660710
CA2N001EA382, ,57.951,-132.4,2.91, ,19660711
CA2N001EA526, ,57.901,-132.165,2.18, ,19660711
CA2N001EA550, ,57.958,-132.017,2.77, ,19660711
CA2N001EE025, ,57.44,-130.699,2.82, ,19650805
CA2N001FE027, ,57.209,-132.174,60, ,19490820
CA2N001FF019, ,57.322,-132.217,37.12, ,19490820
CA2N001GH312, ,57.508,-129.893,0.84, ,19680702
CA2N001GI037, ,57.44,-129.829,0.35, ,19670816
CA2N001GI194, ,57.349,-129.844,0.2, ,19670816
CA2N001GJ247, ,56.796,-130.095,0.03, ,19500910
CA2N001GJ248, ,56.794,-130.092,0.02, ,19500910
CA2N001GL055, ,56.545,-130.939,8.64, ,19650805
CA2O014AP013, ,60.984,-139.531,0.83, ,19510709
CA2O014AP052, ,61.079,-139.556,0.48, ,19510709
CA2O014AQ092, ,60.992,-139.989,6.77, ,19510708
CA2R011A0009, ,78.538,-89.183,8.68, ,19590728
CA2R011B0011, ,78.433,-90.25,2.01, ,19590813
CA2R011B0013, ,78.47,-90.233,0.5, ,19590813
CA2R011C0001, ,78.297,-90.983,10.48, ,19590728
CA2R011C0002, ,78.318,-90.967,5.04, ,19590728
CA2R011C0005, ,78.397,-91.05,2.92, ,19590728
CA2R011C0009, ,78.458,-91.05,10.58, ,19590728
CA2R011D0004, ,78.883,-92.808,2.01, ,19580722
CA2R011D0007, ,78.833,-92.958,10.07, ,19580722
CA2R011E0002, ,79.117,-90.733,1.91, ,19590813
CA2R012B0002, ,79.7,-94.95,1.61, ,19580724
CA2R012B0004, ,79.775,-95.183,155.23, ,19580724
CA2R012B0007, ,79.838,-95.65,1.61, ,19580724
CA2R012B0010, ,79.863,-95.683,5.95, ,19580724
CA2R012C0002, ,80.203,-94.892,1.21, ,19590728
CA2R012C0008, ,80.265,-94.483,1.11, ,19590728
CA2R012C0010, ,80.293,-94.65,9.37, ,19590728
CA2R012C0015, ,80.325,-95.05,1.11, ,19590728
CA2R012D0009, ,80.307,-95.833,6.96, ,19590728
CA2R012D0010, ,80.308,-95.683,2.42, ,19590728
CA2R012D0011, ,80.285,-95.683,2.42, ,19590728
CA2R013A0009, ,80.863,-94.492,9.27, ,19590728
CA2R013A0010, ,80.882,-94.6,21.77, ,19590728
CA2R013A0029, ,80.863,-93.9,8.87, ,19590728
CA2R013C0004, ,81.308,-94.067,2.02, ,19590728
CA2R013C0009, ,81.283,-93.783,16.93, ,19590725
CA2R013C0010, ,81.308,-93.725,0.3, ,19590725
CA2R013C0015, ,81.275,-93.6,5.95, ,19590725
CA2R013C0023, ,81.267,-93.083,9.98, ,19590728
CA2R013C0038, ,81.275,-92.683,18.34, ,19590728
CA2R013D0009, ,80.812,-92.642,3.51, ,19590728
CA2R013D0030, ,80.85,-92.617,3.12, ,19590728
CA2R014J0001, ,80.29,-93.817,7.46, ,19590728
CA2R014J0002, ,80.293,-93.775,2.02, ,19590728
CA2R014J0003, ,80.308,-93.8,0.9, ,19590728
CA2R014K0008, ,80.467,-93.47,1.25, ,19590805
CA2R014K0069, ,80.263,-92.167,4.43, ,19590728
CA2R014K0070, ,80.25,-92.217,2.72, ,19590728
CA2R014K0072, ,80.243,-92.35,2.72, ,19590728
CA2R014K0073, ,80.268,-92.342,7.97, ,19590728
CA2S011C0040, ,77.048,-82.23,0.26,425,19590818
CA2S011C0080, ,77,-82.298,0.29,664,19590818
CA2S011C0181, ,76.998,-83.138,0.22,613,19590717
CA2S011C0182, ,76.997,-83.178,0.21,617,19590717
CA2S011C0190, ,77.012,-83.22,1.2,712,19590717
CA2S011C0210, ,77.043,-83.158,0.21,570,19590717
CA2S011C0240, ,77.07,-83.112,0.33,702,19590817
CA2S011C0260, ,77.077,-83.06,0.54,735,19590817
CA2S011C0270, ,77.082,-83.023,0.55,680,19590817
CA2S011C0320, ,77.083,-82.968,0.46,713,19590817
CA2S011C0330, ,77.092,-82.977,0.18,651,19590817
CA2S011C0360, ,77.115,-82.818,0.33,682,19590707
CA2S011D0070, ,77.123,-81.07,0.65,426,19590717
CA2S011D0130, ,77.075,-81.4,0.38,457,19590717
CA2S011D0140, ,77.078,-81.185,0.53,407,19590717
CA2S011D0200, ,77.003,-81.142,0.32,493,19590717
CA2S011D0220, ,76.997,-81.105,0.46,454,19590717
CA2S011E0460, ,76.903,-80.7,1.19,686,19590818
CA2S011E0660, ,77.062,-80.778,0.12,682,19590812
CA2S011E0690, ,77.052,-80.895,0.18,669,19590812
CA2S011E0730, ,77.107,-80.983,0.17,484,19590717
CA2S011E1310, ,77.132,-81.008,0.2,395,19590717
CA2S011G0860, ,76.825,-77.953,0.23,347,19590707
CA2S011H0040, ,76.213,-80.587,0.03,320,19590708
CA2S011H0050, ,76.207,-80.563,0.15,350,19590708
CA2S011H0070, ,76.205,-80.483,0.19,330,19590708
CA2S011H0140, ,76.263,-80.248,0.08,344,19590812
CA2S011H0460, ,76.39,-79.367,0.2,309,19590708
CA2S017A0100, ,77.478,-81.94,1.56,469,19590728
CA2S017A0220, ,77.54,-82.21,0.9,528,19590728
CA2S017A0250, ,77.555,-82.205,0.52,607,19590728
CA2S017A0280, ,77.602,-82.173,1.56,652,19590728
CA2S017A0310, ,77.625,-82.155,3.39,650,19590728
CA2S017A0350, ,77.655,-82.21,0.5,559,19590728
CA2S017A0380, ,77.703,-82.348,0.75,769,19590707
CA2S017A0600, ,77.542,-81.358,0.49,463,19590727
CA2S017A0610, ,77.542,-81.358,0.55,521,19590727
CA2S017A0630, ,77.523,-81.288,0.29,510,19590727
CA2S017A0680, ,77.505,-81.215,0.55,472,19590717
CA2S017A0860, ,77.4,-80.737,5.15,645,19600802
CA2S017A0890, ,77.37,-80.755,0.71,546,19590717
